page=0 runCount=75
"" x=75.6 y=56.7 w=642.5 h=13.3
"가나다라" x=75.6 y=78.0 w=52.0 h=13.3
"마바사아" x=75.6 y=99.3 w=52.0 h=13.3
"자차" x=75.6 y=120.7 w=21.0 h=13.3
" spacing -20% / cell 3900 HWPUNIT" x=127.6 y=78.0 w=195.0 h=17.0
"가나다라" x=75.6 y=134.0 w=53.0 h=13.3
"마바사아" x=75.6 y=155.3 w=53.0 h=13.3
"자차" x=75.6 y=176.7 w=21.0 h=13.3
" spacing -20% / cell 3950 HWPUNIT" x=128.3 y=134.0 w=195.0 h=17.0
"가나다라" x=75.6 y=190.0 w=53.0 h=13.3
"마바사아" x=75.6 y=211.3 w=53.0 h=13.3
"자차" x=75.6 y=232.7 w=21.0 h=13.3
" spacing -20% / cell 3980 HWPUNIT" x=128.7 y=190.0 w=195.0 h=17.0
"가나다라" x=75.6 y=246.0 w=54.0 h=13.3
"마바사아" x=75.6 y=267.3 w=54.0 h=13.3
"자차" x=75.6 y=288.7 w=21.0 h=13.3
" spacing -20% / cell 4000 HWPUNIT" x=128.9 y=246.0 w=195.0 h=17.0
"가나다라" x=75.6 y=302.0 w=54.0 h=13.3
"마바사아" x=75.6 y=323.3 w=54.0 h=13.3
"자차" x=75.6 y=344.7 w=21.0 h=13.3
" spacing -20% / cell 4010 HWPUNIT" x=129.1 y=302.0 w=195.0 h=17.0
"가나다라" x=75.6 y=358.0 w=54.0 h=13.3
"마바사아" x=75.6 y=379.3 w=54.0 h=13.3
"자차" x=75.6 y=400.7 w=21.0 h=13.3
" spacing -20% / cell 4030 HWPUNIT" x=129.3 y=358.0 w=195.0 h=17.0
"가나다라" x=75.6 y=414.0 w=54.0 h=13.3
"마바사아" x=75.6 y=435.3 w=54.0 h=13.3
"자차" x=75.6 y=456.7 w=21.0 h=13.3
" spacing -20% / cell 4050 HWPUNIT" x=129.6 y=414.0 w=195.0 h=17.0
"가나다라마" x=75.6 y=470.0 w=54.0 h=13.3
"바사아자차" x=75.6 y=491.3 w=52.0 h=13.3
" spacing -20% / cell 4100 HWPUNIT" x=130.3 y=470.0 w=195.0 h=17.0
"가나다라마" x=75.6 y=504.7 w=55.0 h=13.3
"바사아자차" x=75.6 y=526.0 w=52.0 h=13.3
" spacing -20% / cell 4150 HWPUNIT" x=130.9 y=504.7 w=195.0 h=17.0
"가나다라마" x=75.6 y=539.3 w=56.0 h=13.3
"바사아자차" x=75.6 y=560.7 w=52.0 h=13.3
" spacing -20% / cell 4200 HWPUNIT" x=131.6 y=539.3 w=195.0 h=17.0
"가나다라마" x=75.6 y=574.0 w=56.0 h=13.3
"바사아자차" x=75.6 y=595.3 w=52.0 h=13.3
" spacing -20% / cell 4250 HWPUNIT" x=132.3 y=574.0 w=195.0 h=17.0
"가나다라마" x=75.6 y=608.7 w=57.0 h=13.3
"바사아자차" x=75.6 y=630.0 w=52.0 h=13.3
" spacing -20% / cell 4300 HWPUNIT" x=132.9 y=608.7 w=195.0 h=17.0
"가나다라" x=75.6 y=643.3 w=75.0 h=13.3
"마바사아" x=75.6 y=664.7 w=75.0 h=13.3
"자차" x=75.6 y=686.0 w=31.0 h=13.3
" spacing +20% / cell 5600 HWPUNIT" x=150.3 y=643.3 w=292.0 h=17.0
"가나다라마" x=75.6 y=699.3 w=75.0 h=13.3
"바사아자차" x=75.6 y=720.7 w=75.0 h=13.3
" spacing +20% / cell 5650 HWPUNIT" x=150.9 y=699.3 w=292.0 h=17.0
"가나다라마" x=75.6 y=734.0 w=76.0 h=13.3
"바사아자차" x=75.6 y=755.3 w=76.0 h=13.3
" spacing +20% / cell 5700 HWPUNIT" x=151.6 y=734.0 w=292.0 h=17.0
"가나다라마" x=75.6 y=768.7 w=76.0 h=13.3
"바사아자차" x=75.6 y=790.0 w=76.0 h=13.3
" spacing +20% / cell 5750 HWPUNIT" x=152.3 y=768.7 w=292.0 h=17.0
"가나다라마" x=75.6 y=803.3 w=77.0 h=13.3
"바사아자차" x=75.6 y=824.7 w=77.0 h=13.3
" spacing +20% / cell 5800 HWPUNIT" x=152.9 y=803.3 w=292.0 h=17.0
"가나다라마" x=75.6 y=838.0 w=78.0 h=13.3
"바사아자차" x=75.6 y=859.3 w=78.0 h=13.3
" spacing +20% / cell 5850 HWPUNIT" x=153.6 y=838.0 w=292.0 h=17.0
"가나다라마" x=75.6 y=872.7 w=78.0 h=13.3
"바사아자차" x=75.6 y=894.0 w=78.0 h=13.3
" spacing +20% / cell 5900 HWPUNIT" x=154.3 y=872.7 w=292.0 h=17.0
"가나다라마" x=75.6 y=907.3 w=79.0 h=13.3
"바사아자차" x=75.6 y=928.7 w=78.0 h=13.3
" spacing +20% / cell 5950 HWPUNIT" x=154.9 y=907.3 w=292.0 h=17.0
"가나다라마" x=75.6 y=942.0 w=80.0 h=13.3
"바사아자차" x=75.6 y=963.3 w=78.0 h=13.3
" spacing +20% / cell 6000 HWPUNIT" x=155.6 y=942.0 w=292.0 h=17.0
"가나다라마" x=75.6 y=976.7 w=80.0 h=13.3
"바사아자차" x=75.6 y=998.0 w=78.0 h=13.3
" spacing +20% / cell 6050 HWPUNIT" x=156.3 y=976.7 w=292.0 h=17.0
