spacing	cellSz	hancom_horzsize	hancom_first_line_chars	rhwp_first_line_chars	match
-20	3900	3900	4	4	OK
-20	3950	3948	4	4	OK
-20	3980	3980	4	4	OK
-20	4000	4000	4	4	OK
-20	4010	4008	4	4	OK
-20	4030	4028	4	4	OK
-20	4050	4048	4	4	OK
-20	4100	4100	5	5	OK
-20	4150	4148	5	5	OK
-20	4200	4200	5	5	OK
-20	4250	4248	5	5	OK
-20	4300	4300	5	5	OK
+20	5600	5600	4	4	OK
+20	5650	5648	5	5	OK
+20	5700	5700	5	5	OK
+20	5750	5748	5	5	OK
+20	5800	5800	5	5	OK
+20	5850	5848	5	5	OK
+20	5900	5900	5	5	OK
+20	5950	5948	5	5	OK
+20	6000	6000	5	5	OK
+20	6050	6048	5	5	OK
